Index,Cycle,Step,StepSeq,Mode,TestTime_s,StepTime_s,Voltage_V,Current_mA,Capacity_mAh,Energy_mWh,DateTime
169,2,2,4,CC_DChg,9849.68,3000,1.10871,-0.03968,0.0331141,0.0452811,2026-07-16 07:04:56.680
170,2,2,4,CC_DChg,9909.68,3060,1.06919,-0.03968,0.0337763,0.0460024,2026-07-16 07:05:56.680
171,2,2,4,CC_DChg,9969.68,3120,1.0275,-0.03968,0.0344385,0.0466968,2026-07-16 07:06:56.680
172,2,2,4,CC_DChg,10029.7,3180,0.984095,-0.03968,0.0351007,0.047363,2026-07-16 07:07:56.680
173,2,2,4,CC_DChg,10089.7,3240,0.93961,-0.03968,0.0357629,0.048,2026-07-16 07:08:56.680
174,2,2,4,CC_DChg,10149.7,3300,0.896055,-0.03968,0.0364251,0.0486079,2026-07-16 07:09:56.680
175,2,2,4,CC_DChg,10209.7,3360,0.853895,-0.03968,0.0370873,0.0491873,2026-07-16 07:10:56.680
176,2,2,4,CC_DChg,10269.7,3420,0.81437,-0.03968,0.0377497,0.0497399,2026-07-16 07:11:56.680
177,2,2,4,CC_DChg,10294.1,3444.42,0.79918,-0.03968,0.0380196,0.0499576,2026-07-16 07:12:21.100
178,2,3,5,CC_Chg,10294.2,0,0.84041,0.03968,0,0,2026-07-16 07:12:21.170
179,2,3,5,CC_Chg,10354.2,60,1.04609,0.03968,0.000663032,0.000632144,2026-07-16 07:13:21.170
180,2,3,5,CC_Chg,10414.2,120,1.20311,0.03968,0.00132494,0.00137651,2026-07-16 07:14:21.170
181,2,3,5,CC_Chg,10474.2,180,1.39531,0.03968,0.00198724,0.00223522,2026-07-16 07:15:21.170
182,2,3,5,CC_Chg,10534.2,240,1.54116,0.03968,0.0026493,0.00321407,2026-07-16 07:16:21.170
183,2,3,5,CC_Chg,10594.2,300,1.52659,0.03968,0.00331182,0.00422902,2026-07-16 07:17:21.170
184,2,3,5,CC_Chg,10654.2,360,1.52473,0.03968,0.0039745,0.00524002,2026-07-16 07:18:21.170
185,2,3,5,CC_Chg,10714.2,420,1.52458,0.03968,0.00463664,0.00624968,2026-07-16 07:19:21.170
186,2,3,5,CC_Chg,10774.2,480,1.52473,0.03968,0.00529885,0.00725942,2026-07-16 07:20:21.170
187,2,3,5,CC_Chg,10834.2,540,1.52427,0.03968,0.00596082,0.00826868,2026-07-16 07:21:21.170
188,2,3,5,CC_Chg,10894.2,600,1.52412,0.03968,0.00662275,0.00927769,2026-07-16 07:22:21.170
189,2,3,5,CC_Chg,10954.2,660,1.52412,0.03968,0.00728533,0.0102876,2026-07-16 07:23:21.170
190,2,3,5,CC_Chg,11014.2,720,1.52442,0.03968,0.00794761,0.0112972,2026-07-16 07:24:21.170
191,2,3,5,CC_Chg,11074.2,780,1.52489,0.03968,0.00860986,0.0123069,2026-07-16 07:25:21.170
192,2,3,5,CC_Chg,11134.2,840,1.52567,0.03968,0.00927207,0.013317,2026-07-16 07:26:21.170
193,2,3,5,CC_Chg,11194.2,900,1.52598,0.03968,0.00993444,0.0143277,2026-07-16 07:27:21.170
194,2,3,5,CC_Chg,11254.2,960,1.52644,0.03968,0.0105969,0.0153387,2026-07-16 07:28:21.170
195,2,3,5,CC_Chg,11314.2,1020,1.52753,0.03968,0.0112591,0.01635,2026-07-16 07:29:21.170
196,2,3,5,CC_Chg,11374.2,1080,1.52861,0.03968,0.0119214,0.017362,2026-07-16 07:30:21.170
197,2,3,5,CC_Chg,11434.2,1140,1.53001,0.03968,0.012584,0.0183752,2026-07-16 07:31:21.170
198,2,3,5,CC_Chg,11494.2,1200,1.53155,0.03968,0.0132464,0.0193892,2026-07-16 07:32:21.170
199,2,3,5,CC_Chg,11554.2,1260,1.53373,0.03968,0.0139089,0.0204045,2026-07-16 07:33:21.170
200,2,3,5,CC_Chg,11614.2,1320,1.53621,0.03968,0.0145711,0.0214211,2026-07-16 07:34:21.170
201,2,3,5,CC_Chg,11674.2,1380,1.53915,0.03968,0.0152331,0.022439,2026-07-16 07:35:21.170
202,2,3,5,CC_Chg,11734.2,1440,1.54272,0.03968,0.0158955,0.0234596,2026-07-16 07:36:21.170
203,2,3,5,CC_Chg,11794.2,1500,1.54644,0.03968,0.0165576,0.0244824,2026-07-16 07:37:21.170
204,2,3,5,CC_Chg,11854.2,1560,1.55109,0.03968,0.0172202,0.0255087,2026-07-16 07:38:21.170
205,2,3,5,CC_Chg,11914.2,1620,1.55604,0.03968,0.0178826,0.0265378,2026-07-16 07:39:21.170
206,2,3,5,CC_Chg,11974.2,1680,1.56116,0.03968,0.0185449,0.0275701,2026-07-16 07:40:21.170
207,2,3,5,CC_Chg,12034.2,1740,1.56612,0.03999,0.0192072,0.0286058,2026-07-16 07:41:21.170
208,2,3,5,CC_Chg,12094.2,1800,1.57031,0.03968,0.0198697,0.0296449,2026-07-16 07:42:21.170
209,2,3,5,CC_Chg,12154.2,1860,1.57371,0.03968,0.020532,0.0306864,2026-07-16 07:43:21.170
210,2,3,5,CC_Chg,12214.2,1920,1.57604,0.03968,0.0211943,0.0317295,2026-07-16 07:44:21.170
211,2,3,5,CC_Chg,12274.2,1980,1.57837,0.03968,0.0218569,0.0327745,2026-07-16 07:45:21.170
212,2,3,5,CC_Chg,12334.2,2040,1.58022,0.03968,0.0225189,0.0338202,2026-07-16 07:46:21.170
213,2,3,5,CC_Chg,12394.2,2100,1.58208,0.03968,0.0231811,0.0348673,2026-07-16 07:47:21.170
